Code,名稱,網址,評分,餐點類型
z8xg,送青茶贊,/restaurant/z8xg/song-qing-cha-zan,4.9 stars out of 5,飲料
woby,有利脆皮豬 (彰化中正店),/restaurant/woby/you-li-cui-pi-zhu-zhang-hua-zhong-zheng-dian,4.7 stars out of 5,小吃
z2xa,康師傅自助餐館,/restaurant/z2xa/kang-shi-fu-zi-zhu-can-guan,4.7 stars out of 5,台式
f6kq,Louisa 路易莎 (彰美店),/restaurant/f6kq/louisa-lu-yi-sha-zhang-mei-dian,4.8 stars out of 5,咖啡
lba9,餅留香千層蔥花大餅 (彰化彰安店),/restaurant/lba9/bing-liu-xiang-qian-ceng-cong-hua-da-bing-zhang-hua-zhang-an-dian,4.8 stars out of 5,小吃
a4db,(粘)香鬆紅豆餅,/restaurant/a4db/nian-xiang-song-hong-dou-bing,4.6 stars out of 5,甜點
vh5x,廚娘原創食坊,/restaurant/vh5x/chu-niang-yuan-chuang-shi-fang,4.9 stars out of 5,日式
f9lb,九龍廣東粥 (彰化永安店),/restaurant/f9lb/jiu-long-guang-dong-zhou-zhang-hua-yong-an-dian,4.9 stars out of 5,中式
p77h,櫻未央日本通飯,/restaurant/p77h/ying-wei-yang-ri-ben-tong-fan,未知,甜點
a7nz,米樂壽司,/restaurant/a7nz/mi-le-shou-si,4.8 stars out of 5,日式
z8sb,Origin Cafe,/restaurant/z8sb/origin-cafe,5 stars out of 5,咖啡
i4ea,幸福創意三明治,/restaurant/i4ea/xing-fu-chuang-yi-san-ming-zhi,4.9 stars out of 5,小吃
trbr,888雞善之家 (彰化三民店),/restaurant/trbr/888ji-shan-zhi-jia-zhang-hua-san-min-dian,5 stars out of 5,台式
a6gg,三民路排骨酥麵,/restaurant/a6gg/san-min-lu-pai-gu-su-mian,4.7 stars out of 5,台式
fnvw,悟饕池上飯包 (彰化彰美店),/restaurant/fnvw/wu-tao-chi-shang-fan-bao-zhang-hua-zhang-mei-dian,4.7 stars out of 5,台式
f6dg,豫琴經典麵食館,/restaurant/f6dg/yu-qin-jing-dian-mian-shi-guan,4.7 stars out of 5,台式
p5iw,龍哥雞排 (永安店),/restaurant/p5iw/long-ge-ji-pai-yong-an-dian,4.9 stars out of 5,小吃
tlr0,犁田鹹酥雞 (彰化華山店),/restaurant/tlr0/li-tian-xian-su-ji-zhang-hua-hua-shan-dian,4.6 stars out of 5,小吃
obw5,花果好日雞蛋糕 (彰化彰美店),/restaurant/obw5/hua-guo-hao-ri-ji-dan-gao-zhang-hua-zhang-mei-dian,3.6 stars out of 5,甜點
zc1b,滿大碗 (彰化自強店),/restaurant/zc1b/man-da-wan-zhang-hua-zi-qiang-dian,4.7 stars out of 5,小吃
iesi,影食Time to Eat,/restaurant/iesi/ying-shi-time-to-eat,4.6 stars out of 5,台式
levt,回憶小時候 (彰化中正店),/restaurant/levt/hui-yi-xiao-shi-hou-zhang-hua-zhong-zheng-dian,4.9 stars out of 5,飲料
d9sf,水巷茶弄 (彰化民族店),/restaurant/d9sf/shui-xiang-cha-nong-zhang-hua-min-zu-dian,4.9 stars out of 5,飲料
e8aw,大埔鐵板燒 (彰化金馬店),/restaurant/e8aw/da-bu-tie-ban-shao-zhang-hua-jin-ma-dian,4.7 stars out of 5,台式
ejr1,劉師傅雞腿大王,/restaurant/ejr1/liu-shi-fu-ji-tui-da-wang,4.8 stars out of 5,台式
pyc4,康青龍 (彰化永安店),/restaurant/pyc4/kang-qing-long-zhang-hua-yong-an-dian,4.8 stars out of 5,飲料
e07j,潮極蔬勾eat,/restaurant/e07j/chao-ji-shu-gou-eat,4.8 stars out of 5,素食
eq9k,鼎香無骨鹽酥雞,/restaurant/eq9k/ding-xiang-wu-gu-yan-su-ji,4.3 stars out of 5,小吃
rczj,不時不食清鍋物,/restaurant/rczj/bu-shi-bu-shi-qing-guo-wu,4.9 stars out of 5,台式
e2fs,碳烤地瓜美味餡餅,/restaurant/e2fs/tan-kao-di-gua-mei-wei-xian-bing,4.7 stars out of 5,小吃
z1lc,漢林鐵板燒 (彰化三民店),/restaurant/z1lc/han-lin-tie-ban-shao-zhang-hua-san-min-dian,4.6 stars out of 5,台式
b2ze,地6攤牛排 (彰化三民店),/restaurant/b2ze/di-6tan-niu-pai-zhang-hua-san-min-dian,4.8 stars out of 5,歐美
f5g0,圓木嫩仙草 (彰化民族店),/restaurant/f5g0/yuan-mu-nen-xian-cao-zhang-hua-min-zu-dian,4.8 stars out of 5,甜點
g7bg,蕭家紅茶本舖,/restaurant/g7bg/xiao-jia-hong-cha-ben-pu,4.9 stars out of 5,甜點
f1gq,汁液型男,/restaurant/f1gq/zhi-ye-xing-nan,4.8 stars out of 5,日式
f8ac,好室鍋物 (彰化店),/restaurant/f8ac/hao-shi-guo-wu-zhang-hua-dian,4.5 stars out of 5,台式
t6dx,紅嬌炸粿,/restaurant/t6dx/hong-jiao-zha-guo,4.7 stars out of 5,台式
f5g9,鼎味炭火薑母鴨.酸菜白肉鍋（彰化店）,/restaurant/f5g9/ding-wei-tan-huo-jiang-mu-ya-suan-cai-bai-rou-guo-zhang-hua-dian,4.7 stars out of 5,台式
ydv6,沁-皮革文創咖啡（chin coffee),/restaurant/ydv6/qin-pi-ge-wen-chuang-ka-pei-chin-coffee,5 stars out of 5,咖啡
z1do,John手作蔬食,/restaurant/z1do/johnshou-zuo-shu-shi,4.9 stars out of 5,素食
z9je,王功昌蚵仔炒麵,/restaurant/z9je/wang-gong-chang-he-zi-chao-mian,4.7 stars out of 5,台式
vgll,夢柯越南料理,/restaurant/vgll/meng-ke-yue-nan-liao-li,4.5 stars out of 5,東南亞
vr21,石一籠 (彰化中正店),/restaurant/vr21/shi-long-zhang-hua-zhong-zheng-dian,4.5 stars out of 5,中式
